id,postcode,suburb,latitude,longitude,solarstation,solarname,solardistance,solarwet,solardry,solarmean,rainstation,rainname,raindistance,rainwet,raindry,rainmean,tempstation,tempname,tempdistance,tempmaxwet,tempmaxdry,tempmaxmean,tempminwet,tempmindry,tempminmean
1,800,Darwin,-12.459,130.847,14167,Stokes Hill,0.35,5.556,6.126,5.841,14167,Stokes Hill,0.35,276.547,20.386,148.467,14015,Darwin Airport,6.44,32.676,32.318,32.500,24.978,21.350,23.196
2,801,Darwin,-12.459,130.847,14167,Stokes Hill,0.35,5.556,6.126,5.841,14167,Stokes Hill,0.35,276.547,20.386,148.467,14015,Darwin Airport,6.44,32.676,32.318,32.500,24.978,21.350,23.196
3,804,Parap,-12.459,130.834,14170,Larrakeyah,0.46,5.556,6.126,5.841,14170,Larrakeyah,0.46,242.705,13.206,140.706,14015,Darwin Airport,7.57,32.676,32.318,32.500,24.978,21.350,23.196
4,810,Alawa,-12.380,130.856,14112,Nightcliff Pool,0.67,5.567,6.078,5.822,14112,Nightcliff Pool,0.67,240.400,16.054,135.875,14015,Darwin Airport,5.83,32.676,32.318,32.500,24.978,21.350,23.196
5,810,Brinkin,-12.369,130.859,14289,Charles Darwin University,1.23,5.567,6.078,5.822,14289,Charles Darwin University,1.23,176.067,24.758,85.282,14015,Darwin Airport,6.62,32.676,32.318,32.500,24.978,21.350,23.196
6,810,Casuarina,-12.374,130.873,14289,Charles Darwin University,0.56,5.567,6.078,5.822,14289,Charles Darwin University,0.56,176.067,24.758,85.282,14015,Darwin Airport,5.44,32.676,32.318,32.500,24.978,21.350,23.196
7,810,Coconut Grove,-12.395,130.842,14112,Nightcliff Pool,1.89,5.567,6.078,5.822,14112,Nightcliff Pool,1.89,240.400,16.054,135.875,14015,Darwin Airport,6.01,32.676,32.318,32.500,24.978,21.350,23.196
8,810,Jingili,-12.389,130.863,14112,Nightcliff Pool,1.76,5.567,6.078,5.822,14112,Nightcliff Pool,1.76,240.400,16.054,135.875,14015,Darwin Airport,4.56,32.676,32.318,32.500,24.978,21.350,23.196
9,810,Lee Point,-12.341,130.874,14285,Darwin Hospital,2.04,5.567,6.078,5.822,14285,Darwin Hospital,2.04,257.091,26.717,150.048,14015,Darwin Airport,8.95,32.676,32.318,32.500,24.978,21.350,23.196
10,810,Lyons,-12.380,130.880,14289,Charles Darwin University,1.57,5.567,6.078,5.822,14289,Charles Darwin University,1.57,176.067,24.758,85.282,14015,Darwin Airport,4.58,32.676,32.318,32.500,24.978,21.350,23.196
11,810,Millner,-12.392,130.855,14112,Nightcliff Pool,1.44,5.567,6.078,5.822,14112,Nightcliff Pool,1.44,240.400,16.054,135.875,14015,Darwin Airport,4.98,32.676,32.318,32.500,24.978,21.350,23.196
12,810,Moil,-12.388,130.873,14144,Marrara,1.54,5.567,6.078,5.822,14144,Marrara,1.54,283.496,20.623,155.677,14015,Darwin Airport,4.02,32.676,32.318,32.500,24.978,21.350,23.196
13,810,Muirhead,-12.380,130.880,14289,Charles Darwin University,1.57,5.567,6.078,5.822,14289,Charles Darwin University,1.57,176.067,24.758,85.282,14015,Darwin Airport,4.58,32.676,32.318,32.500,24.978,21.350,23.196
14,810,Nakara,-12.371,130.869,14289,Charles Darwin University,0.16,5.567,6.078,5.822,14289,Charles Darwin University,0.16,176.067,24.758,85.282,14015,Darwin Airport,5.92,32.676,32.318,32.500,24.978,21.350,23.196
15,810,Nightcliff,-12.383,130.840,14112,Nightcliff Pool,1.16,5.567,6.078,5.822,14112,Nightcliff Pool,1.16,240.400,16.054,135.875,14015,Darwin Airport,6.90,32.676,32.318,32.500,24.978,21.350,23.196
16,810,Rapid Creek,-12.381,130.840,14112,Nightcliff Pool,1.12,5.567,6.078,5.822,14112,Nightcliff Pool,1.12,240.400,16.054,135.875,14015,Darwin Airport,7.04,32.676,32.318,32.500,24.978,21.350,23.196
17,810,Tiwi,-12.359,130.859,14289,Charles Darwin University,1.73,5.567,6.078,5.822,14289,Charles Darwin University,1.73,176.067,24.758,85.282,14015,Darwin Airport,7.60,32.676,32.318,32.500,24.978,21.350,23.196
18,810,Wagaman,-12.381,130.876,14289,Charles Darwin University,1.39,5.567,6.078,5.822,14289,Charles Darwin University,1.39,176.067,24.758,85.282,14015,Darwin Airport,4.60,32.676,32.318,32.500,24.978,21.350,23.196
19,810,Wanguri,-12.372,130.879,14289,Charles Darwin University,1.02,5.567,6.078,5.822,14289,Charles Darwin University,1.02,176.067,24.758,85.282,14015,Darwin Airport,5.47,32.676,32.318,32.500,24.978,21.350,23.196
20,811,Casuarina,-12.372,130.879,14289,Charles Darwin University,1.02,5.567,6.078,5.822,14289,Charles Darwin University,1.02,176.067,24.758,85.282,14015,Darwin Airport,5.47,32.676,32.318,32.500,24.978,21.350,23.196
21,812,Anula,-12.390,130.882,14144,Marrara,1.13,5.567,6.078,5.822,14144,Marrara,1.13,283.496,20.623,155.677,14015,Darwin Airport,3.45,32.676,32.318,32.500,24.978,21.350,23.196
22,812,Buffalo Creek,-12.400,130.910,14235,Northlakes,1.11,5.567,6.078,5.822,14235,Northlakes,1.11,294.449,19.242,165.820,14015,Darwin Airport,3.14,32.676,32.318,32.500,24.978,21.350,23.196
23,812,Holmes,-12.400,130.910,14235,Northlakes,1.11,5.567,6.078,5.822,14235,Northlakes,1.11,294.449,19.242,165.820,14015,Darwin Airport,3.14,32.676,32.318,32.500,24.978,21.350,23.196
24,812,Karama,-12.400,130.907,14235,Northlakes,0.78,5.567,6.078,5.822,14235,Northlakes,0.78,294.449,19.242,165.820,14015,Darwin Airport,2.91,32.676,32.318,32.500,24.978,21.350,23.196
25,812,Leanyer,-12.371,130.886,14289,Charles Darwin University,1.78,5.567,6.078,5.822,14289,Charles Darwin University,1.78,176.067,24.758,85.282,14015,Darwin Airport,5.46,32.676,32.318,32.500,24.978,21.350,23.196
26,812,Malak,-12.393,130.895,14235,Northlakes,0.95,5.567,6.078,5.822,14235,Northlakes,0.95,294.449,19.242,165.820,14015,Darwin Airport,3.05,32.676,32.318,32.500,24.978,21.350,23.196
27,812,Marrara,-12.404,130.860,14144,Marrara,2.26,5.567,6.078,5.822,14144,Marrara,2.26,283.496,20.623,155.677,14015,Darwin Airport,3.77,32.676,32.318,32.500,24.978,21.350,23.196
28,812,Northlakes,-12.396,130.893,14235,Northlakes,0.89,5.567,6.078,5.822,14235,Northlakes,0.89,294.449,19.242,165.820,14015,Darwin Airport,2.68,32.676,32.318,32.500,24.978,21.350,23.196
29,812,Sanderson,-12.396,130.887,14144,Marrara,0.89,5.567,6.078,5.822,14144,Marrara,0.89,283.496,20.623,155.677,14015,Darwin Airport,2.68,32.676,32.318,32.500,24.978,21.350,23.196
30,812,Woodleigh Gardens,-12.377,130.896,14246,Leanyer,1.59,5.567,6.078,5.822,14246,Leanyer,1.59,265.118,21.830,142.397,14015,Darwin Airport,4.82,32.676,32.318,32.500,24.978,21.350,23.196
31,812,Wulagi,-12.383,130.887,14144,Marrara,2.04,5.567,6.078,5.822,14144,Marrara,2.04,283.496,20.623,155.677,14015,Darwin Airport,4.12,32.676,32.318,32.500,24.978,21.350,23.196
32,813,Sanderson,-12.383,130.756,14238,Wagait Beach,5.26,5.594,6.172,5.883,14238,Wagait Beach,5.26,285.921,22.450,162.251,14015,Darwin Airport,15.43,32.676,32.318,32.500,24.978,21.350,23.196
33,814,Nightcliff,-12.383,130.852,14112,Nightcliff Pool,0.40,5.567,6.078,5.822,14112,Nightcliff Pool,0.40,240.400,16.054,135.875,14015,Darwin Airport,5.89,32.676,32.318,32.500,24.978,21.350,23.196
34,815,Charles Darwin University,-12.372,130.867,14289,Charles Darwin University,0.40,5.567,6.078,5.822,14289,Charles Darwin University,0.40,176.067,24.758,85.282,14015,Darwin Airport,5.91,32.676,32.318,32.500,24.978,21.350,23.196
35,820,Bagot,-12.415,130.852,14163,Darwin Botanic Gardens,3.08,5.556,6.126,5.841,14163,Darwin Botanic Gardens,3.08,292.248,25.738,171.564,14015,Darwin Airport,4.25,32.676,32.318,32.500,24.978,21.350,23.196
36,820,Bayview,-12.438,130.849,14163,Darwin Botanic Gardens,1.02,5.556,6.126,5.841,14163,Darwin Botanic Gardens,1.02,292.248,25.738,171.564,14015,Darwin Airport,4.97,32.676,32.318,32.500,24.978,21.350,23.196
37,820,Charles Darwin,-12.449,130.841,14163,Darwin Botanic Gardens,1.01,5.556,6.126,5.841,14163,Darwin Botanic Gardens,1.01,292.248,25.738,171.564,14015,Darwin Airport,6.32,32.676,32.318,32.500,24.978,21.350,23.196
38,820,Coonawarra,-12.434,130.890,14015,Darwin Airport,1.55,5.567,6.078,5.822,14015,Darwin Airport,1.55,288.390,18.432,154.584,14015,Darwin Airport,1.55,32.676,32.318,32.500,24.978,21.350,23.196
